都道府県,性別,年齢階級,転出超過数,人口,転出超過率(%)
栃木県,総数,70歳～74歳,135,145589,0.0927
栃木県,総数,75歳～79歳,82,103165,0.0795
栃木県,総数,80歳～84歳,115,75846,0.1516
栃木県,総数,85歳～89歳,26,52977,0.0491
栃木県,総数,90歳以上,35,35650,0.0982
栃木県,男,0歳～4歳,60,34166,0.1756
栃木県,男,5歳～9歳,-35,39679,-0.0882
栃木県,男,10歳～14歳,-44,43386,-0.1014
栃木県,男,15歳～19歳,-313,44828,-0.6982
栃木県,男,20歳～24歳,-344,42818,-0.8034
栃木県,男,25歳～29歳,-303,47561,-0.6371
栃木県,男,30歳～34歳,-178,52481,-0.3392
栃木県,男,35歳～39歳,-107,59528,-0.1797
栃木県,男,40歳～44歳,17,67484,0.0252
栃木県,男,45歳～49歳,82,77078,0.1064
栃木県,男,50歳～54歳,39,64978,0.06
栃木県,男,55歳～59歳,-7,60339,-0.0116
栃木県,男,60歳～64歳,44,61755,0.0712
栃木県,男,65歳～69歳,39,69780,0.0559
栃木県,男,70歳～74歳,77,70963,0.1085
栃木県,男,75歳～79歳,27,47883,0.0564
栃木県,男,80歳～84歳,72,32241,0.2233
栃木県,男,85歳～89歳,19,18882,0.1006
栃木県,男,90歳以上,2,8885,0.0225
栃木県,女,0歳～4歳,54,31858,0.1695
栃木県,女,5歳～9歳,-29,37622,-0.0771
栃木県,女,10歳～14歳,-41,40842,-0.1004
栃木県,女,15歳～19歳,-253,42776,-0.5915
栃木県,女,20歳～24歳,-1180,38620,-3.0554
栃木県,女,25歳～29歳,-231,39816,-0.5802
栃木県,女,30歳～34歳,-4,46507,-0.0086
栃木県,女,35歳～39歳,24,54063,0.0444
栃木県,女,40歳～44歳,-7,62238,-0.0112
栃木県,女,45歳～49歳,2,70742,0.0028
栃木県,女,50歳～54歳,75,62075,0.1208
栃木県,女,55歳～59歳,122,58354,0.2091
栃木県,女,60歳～64歳,81,61570,0.1316
栃木県,女,65歳～69歳,33,71374,0.0462
栃木県,女,70歳～74歳,58,74626,0.0777
栃木県,女,75歳～79歳,55,55282,0.0995
栃木県,女,80歳～84歳,43,43605,0.0986
栃木県,女,85歳～89歳,7,34095,0.0205
栃木県,女,90歳以上,33,26765,0.1233
群馬県,総数,0歳～4歳,219,64476,0.3397
群馬県,総数,5歳～9歳,103,75492,0.1364
群馬県,総数,10歳～14歳,-21,84336,-0.0249
群馬県,総数,15歳～19歳,-72,90433,-0.0796
群馬県,総数,20歳～24歳,-2929,84971,-3.4471
群馬県,総数,25歳～29歳,-887,85309,-1.0397
群馬県,総数,30歳～34歳,-256,92004,-0.2782
群馬県,総数,35歳～39歳,-25,105492,-0.0237
群馬県,総数,40歳～44歳,81,125099,0.0647
群馬県,総数,45歳～49歳,-8,148569,-0.0054
群馬県,総数,50歳～54歳,141,129802,0.1086
群馬県,総数,55歳～59歳,140,118508,0.1181
群馬県,総数,60歳～64歳,246,116044,0.212
群馬県,総数,65歳～69歳,286,134811,0.2121
群馬県,総数,70歳～74歳,296,149463,0.198
群馬県,総数,75歳～79歳,363,112391,0.323
群馬県,総数,80歳～84歳,358,82501,0.4339
群馬県,総数,85歳～89歳,276,57888,0.4768
群馬県,総数,90歳以上,173,39675,0.436
群馬県,男,0歳～4歳,110,33026,0.3331
