種別,都道府県,年次,性別,年齢階級,人数
転入者数,福島県,2025年,総数,35歳～39歳,1782
転入者数,福島県,2025年,総数,40歳～44歳,1320
転入者数,福島県,2025年,総数,45歳～49歳,1191
転入者数,福島県,2025年,総数,50歳～54歳,1152
転入者数,福島県,2025年,総数,55歳～59歳,925
転入者数,福島県,2025年,総数,60歳～64歳,675
転入者数,福島県,2025年,総数,65歳～69歳,421
転入者数,福島県,2025年,総数,70歳～74歳,337
転入者数,福島県,2025年,総数,75歳～79歳,231
転入者数,福島県,2025年,総数,80歳～84歳,142
転入者数,福島県,2025年,総数,85歳～89歳,99
転入者数,福島県,2025年,総数,90歳以上,75
転入者数,福島県,2025年,男,総数,13635
転入者数,福島県,2025年,男,0歳～4歳,499
転入者数,福島県,2025年,男,5歳～9歳,266
転入者数,福島県,2025年,男,10歳～14歳,131
転入者数,福島県,2025年,男,15歳～19歳,863
転入者数,福島県,2025年,男,20歳～24歳,2775
転入者数,福島県,2025年,男,25歳～29歳,2313
転入者数,福島県,2025年,男,30歳～34歳,1535
転入者数,福島県,2025年,男,35歳～39歳,1123
転入者数,福島県,2025年,男,40歳～44歳,852
転入者数,福島県,2025年,男,45歳～49歳,769
転入者数,福島県,2025年,男,50歳～54歳,732
転入者数,福島県,2025年,男,55歳～59歳,616
転入者数,福島県,2025年,男,60歳～64歳,449
転入者数,福島県,2025年,男,65歳～69歳,269
転入者数,福島県,2025年,男,70歳～74歳,208
転入者数,福島県,2025年,男,75歳～79歳,130
転入者数,福島県,2025年,男,80歳～84歳,59
転入者数,福島県,2025年,男,85歳～89歳,28
転入者数,福島県,2025年,男,90歳以上,18
転入者数,福島県,2025年,女,総数,9153
転入者数,福島県,2025年,女,0歳～4歳,421
転入者数,福島県,2025年,女,5歳～9歳,272
転入者数,福島県,2025年,女,10歳～14歳,163
転入者数,福島県,2025年,女,15歳～19歳,472
転入者数,福島県,2025年,女,20歳～24歳,2019
転入者数,福島県,2025年,女,25歳～29歳,1618
転入者数,福島県,2025年,女,30歳～34歳,1091
転入者数,福島県,2025年,女,35歳～39歳,659
転入者数,福島県,2025年,女,40歳～44歳,468
転入者数,福島県,2025年,女,45歳～49歳,422
転入者数,福島県,2025年,女,50歳～54歳,420
転入者数,福島県,2025年,女,55歳～59歳,309
転入者数,福島県,2025年,女,60歳～64歳,226
転入者数,福島県,2025年,女,65歳～69歳,152
転入者数,福島県,2025年,女,70歳～74歳,129
転入者数,福島県,2025年,女,75歳～79歳,101
転入者数,福島県,2025年,女,80歳～84歳,83
転入者数,福島県,2025年,女,85歳～89歳,71
転入者数,福島県,2025年,女,90歳以上,57
転入者数,茨城県,2025年,総数,総数,55683
転入者数,茨城県,2025年,総数,0歳～4歳,2451
転入者数,茨城県,2025年,総数,5歳～9歳,1268
転入者数,茨城県,2025年,総数,10歳～14歳,611
転入者数,茨城県,2025年,総数,15歳～19歳,2836
転入者数,茨城県,2025年,総数,20歳～24歳,11528
転入者数,茨城県,2025年,総数,25歳～29歳,11092
転入者数,茨城県,2025年,総数,30歳～34歳,7214
転入者数,茨城県,2025年,総数,35歳～39歳,4504
転入者数,茨城県,2025年,総数,40歳～44歳,3158
転入者数,茨城県,2025年,総数,45歳～49歳,2482
転入者数,茨城県,2025年,総数,50歳～54歳,2341
転入者数,茨城県,2025年,総数,55歳～59歳,1623
転入者数,茨城県,2025年,総数,60歳～64歳,1180
転入者数,茨城県,2025年,総数,65歳～69歳,858
転入者数,茨城県,2025年,総数,70歳～74歳,630
転入者数,茨城県,2025年,総数,75歳～79歳,625
転入者数,茨城県,2025年,総数,80歳～84歳,526
転入者数,茨城県,2025年,総数,85歳～89歳,452
転入者数,茨城県,2025年,総数,90歳以上,304
転入者数,茨城県,2025年,男,総数,33279
転入者数,茨城県,2025年,男,0歳～4歳,1261
転入者数,茨城県,2025年,男,5歳～9歳,678
転入者数,茨城県,2025年,男,10歳～14歳,298
転入者数,茨城県,2025年,男,15歳～19歳,1735
転入者数,茨城県,2025年,男,20歳～24歳,6969
転入者数,茨城県,2025年,男,25歳～29歳,6497
転入者数,茨城県,2025年,男,30歳～34歳,4358
転入者数,茨城県,2025年,男,35歳～39歳,2821
転入者数,茨城県,2025年,男,40歳～44歳,2051
転入者数,茨城県,2025年,男,45歳～49歳,1625
転入者数,茨城県,2025年,男,50歳～54歳,1543
転入者数,茨城県,2025年,男,55歳～59歳,1088
転入者数,茨城県,2025年,男,60歳～64歳,717
転入者数,茨城県,2025年,男,65歳～69歳,531
転入者数,茨城県,2025年,男,70歳～74歳,365
転入者数,茨城県,2025年,男,75歳～79歳,324
転入者数,茨城県,2025年,男,80歳～84歳,209
転入者数,茨城県,2025年,男,85歳～89歳,143
転入者数,茨城県,2025年,男,90歳以上,66
転入者数,茨城県,2025年,女,総数,22404
転入者数,茨城県,2025年,女,0歳～4歳,1190
転入者数,茨城県,2025年,女,5歳～9歳,590
転入者数,茨城県,2025年,女,10歳～14歳,313
転入者数,茨城県,2025年,女,15歳～19歳,1101
転入者数,茨城県,2025年,女,20歳～24歳,4559
転入者数,茨城県,2025年,女,25歳～29歳,4595
転入者数,茨城県,2025年,女,30歳～34歳,2856
転入者数,茨城県,2025年,女,35歳～39歳,1683
転入者数,茨城県,2025年,女,40歳～44歳,1107
転入者数,茨城県,2025年,女,45歳～49歳,857
転入者数,茨城県,2025年,女,50歳～54歳,798
転入者数,茨城県,2025年,女,55歳～59歳,535
転入者数,茨城県,2025年,女,60歳～64歳,463
転入者数,茨城県,2025年,女,65歳～69歳,327
転入者数,茨城県,2025年,女,70歳～74歳,265
転入者数,茨城県,2025年,女,75歳～79歳,301
転入者数,茨城県,2025年,女,80歳～84歳,317
